# extended ;1
# legs ;['blueleg']
# legs model ;['beam']
# legs young modulus ;[35000.]
# legs poisson ratio ;[0.45]
# legs position on motor ;['counterclockwisedown', 'clockwisedown', 'counterclockwisedown', 'clockwisedown']
# connector ;bluepart
# connector type ;rigid
Effector position;Motor angle
[ 19.94949193 -98.48083812  11.96603157];[1.524920112871136, -1.7517963988909018, 0.7072419690999494, -0.4208197180103491]
[ 19.94864645 -98.48564733   7.97600642];[1.3998871075985955, -1.749236538364626, 0.8499458264828418, -0.41857937256872957]
[ 19.9479482  -98.49022398   3.98751879];[1.2684865542523989, -1.747065945132657, 0.991994859762097, -0.41686934472777804]
[ 1.99473978e+01 -9.84946999e+01  3.25669811e-07];[1.1319352875359665, -1.7461263828180957, 1.131938007706631, -0.41619163872251663]
[ 19.94794801 -98.49022424  -3.98751897];[0.9919910043392851, -1.7470654594303128, 1.2684893706619333, -0.41686952886968576]
[ 19.94864601 -98.48564825  -7.97600596];[0.8499425756640993, -1.749235657691592, 1.399887927704495, -0.41857994259542564]
[ 19.94949134 -98.48084193 -11.96603057];[0.7072375960535717, -1.7517947632169348, 1.5249230935221758, -0.42082005064048356]
[ 2.39429388e+01 -9.84810579e+01  1.72745063e-05];[1.1294422753613391, -1.8498904538813739, 1.129423674575424, -0.2763711236704946]
[  27.93654751 -102.44598831   -3.98915242];[0.8707066884372573, -1.8085998578522653, 1.1294370041982689, -0.07304040349076013]
[ 2.79358344e+01 -1.02449909e+02 -1.39939855e-07];[1.0014348067339673, -1.8082594389402258, 1.001431486714446, -0.07260866414089193]
[  27.93654763 -102.44599035    3.98915318];[1.1294360350433936, -1.808599498896982, 0.8707116567488865, -0.07303841814852677]
[  23.94327005 -102.44895061   11.96841041];[1.38076350269267, -1.7126525274071103, 0.609573854229053, -0.20854832904005655]
[  23.9421719  -102.45305025    7.97798458];[1.261332374735705, -1.7122783560501547, 0.7437054449030449, -0.20727418107942347]
[  23.94128993 -102.45708295    3.98864265];[1.136864920251997, -1.7115972066545895, 0.876954415786762, -0.20624706827995337]
[ 2.39406392e+01 -1.02461138e+02  4.96536068e-08];[1.0082958603797172, -1.7112004123832991, 1.0082977454195376, -0.20582755574665001]
[  23.94128981 -102.45708379   -3.98864252];[0.8769525503566282, -1.7115961876198957, 1.1368665695467874, -0.20624681014143192]
[  23.94217162 -102.45305224   -7.97798434];[0.7437038403253341, -1.7122762896523085, 1.2613336616197384, -0.2072736943405037]
[  23.94326781 -102.44893163  -11.96841826];[0.6095715840114111, -1.712665361307597, 1.3807455462983935, -0.2085617509762769]
[  19.95124389 -102.45088644  -19.95123009];[0.3431769657405994, -1.6072137832282194, 1.6072496985078968, -0.34315304421291837]
[  19.94995364 -102.45573113  -15.95843973];[0.4773590709140658, -1.609791765404158, 1.4994325101353339, -0.34325892821920745]
[  19.94883551 -102.46021708  -11.96705532];[0.612046182273278, -1.610325137081122, 1.3855196922443402, -0.34242119924348835]
[  19.94788893 -102.46446762   -7.97703898];[0.7466605164417117, -1.6097883247043, 1.265841575302385, -0.3412531363079921]
