# extended ;1
# legs ;['blueleg']
# legs model ;['beam']
# legs young modulus ;[35000.]
# legs poisson ratio ;[0.45]
# legs position on motor ;['counterclockwisedown', 'clockwisedown', 'counterclockwisedown', 'clockwisedown']
# connector ;bluepart
# connector type ;rigid
Effector position;Motor angle
[  11.4454136  -132.86749262   38.7661047 ];[1.570796326794898, -2.103391630109415e-53, -0.5236032261144561, 0.5131579536994455]
[  -0.24314738 -129.38159275   39.08071949];[1.570796326794898, 4.2926359798152936e-55, -0.5235986847714378, -0.010472611299988305]
[ -11.33505229 -123.84567141   39.31972264];[1.570796326794898, -8.760481591459563e-57, -0.5235987774519066, -0.5340707381349997]
[ -20.34147879 -117.19424356   39.51498504];[1.570796326794898, 1.787853386012216e-58, -0.5235987755604696, -1.057669526973364]
[ -27.05986673 -110.57940669   39.80110928];[1.570796326794898, -3.648680379616868e-60, -0.5235987755990721, -1.5812683023014575]
[  29.09902667 -137.8414077    51.67561506];[1.570796326794898, 7.446286489014444e-62, -1.0578832404945062, 1.6351241763682918]
[  22.37438614 -137.79681428   50.97556422];[1.570796326794898, -1.5196503038804393e-63, -1.046979475904808, 1.0351990486420721]
[  11.89085737 -136.06282678   51.09832261];[1.570796326794898, 3.101327150776218e-65, -1.047202001712755, 0.5131579536994453]
[  -0.2387805  -131.98994298   51.25885865];[1.570796326794898, -6.329239083216434e-67, -1.0471974603697423, -0.01047261129998818]
[ -11.37029544 -125.64054012   51.25352433];[1.570796326794898, 1.291681445554315e-68, -1.0471975530502056, -0.5340707381349996]
[ -20.18508273 -118.33668996   51.21211554];[1.570796326794898, -2.636084582763808e-70, -1.047197551158774, -1.0576695269733638]
[ -26.67408359 -111.30491548   51.4009345 ];[1.570796326794898, 5.379764454619831e-72, -1.0471975511973655, -1.5812683023014573]
[  29.94067855 -137.44623604   61.14165417];[1.570796326794898, -1.0979111131877884e-73, -1.5814820160928058, 1.635124176368292]
[  23.22879935 -137.95349907   59.94651478];[1.570796326794898, 2.240634924872912e-75, -1.5705782515031077, 1.0351990486420724]
[  12.23800802 -136.3848364    59.58465545];[1.570796326794898, -4.572724336475497e-77, -1.5708007773110546, 0.5131579536994455]
[  -0.23937468 -132.21887097   59.40467348];[1.570796326794898, 9.332090482603288e-79, -1.5707962359680308, -0.010472611299988305]
[ -11.37934589 -125.72268855   59.21422208];[1.570796326794898, -1.904508261755659e-80, -1.5707963286485052, -0.5340707381349997]
[ -20.04046712 -118.32586283   59.15560655];[1.570796326794898, 3.8867515546033734e-82, -1.5707963267570626, -1.057669526973364]
[ -26.3445092  -111.23296491   59.46532083];[1.570796326794898, -7.932146029802519e-84, -1.570796326795665, -1.5812683023014575]
[  39.63606628 -106.77449151   -0.7296744 ];[1.570796326794898, -0.5342844648962232, 1.6349104625824606, 1.6351241763682918]
[ 3.10521541e+01 -1.06616464e+02  1.44599901e-02];[1.570796326794898, -0.5233807003065029, 1.5694878750441277, 1.0351990486420721]
[ 2.13095756e+01 -1.05488132e+02 -3.01901655e-04];[1.570796326794898, -0.5236032261144553, 1.5708230298918535, 0.5131579536994453]
[ 1.03631589e+01 -1.03539087e+02  6.39315844e-06];[1.570796326794898, -0.523598684771437, 1.5707957818337326, -0.01047261129998818]
[-2.08602985e-01 -1.00367988e+02 -1.66705566e-07];[1.570796326794898, -0.5235987774519059, 1.5707963379165568, -0.5340707381349996]
[-9.21553522e+00 -9.63017776e+01 -2.57529829e-08];[1.570796326794898, -0.5235987755604689, 1.5707963265679237, -1.0576695269733638]
[-1.62929014e+01 -9.19634800e+01  1.05409825e-07];[1.570796326794898, -0.5235987755990713, 1.5707963267995273, -1.5812683023014573]
[  39.26072331 -112.63990829    6.22407469];[1.570796326794898, -0.523598775598283, 1.0365118618985802, 1.635124176368292]
[  31.0629392  -111.89203789    6.17075293];[1.570796326794898, -0.5235987755982997, 1.0474156264883894, 1.0351990486420724]
